habitat	treeID	date	pointID	plant_species	wet_mass_g	dry_mass_g	N_leaves	dist_obs_m	slope_deg	height	observer	height_eyes_m
native	T16L3	10/5/2023	T16	Ligustrum_lucidum	1.37	0.519	5	2.22	126	3.16	Facu	1.55
native	T16L4	10/5/2023	T16	Ligustrum_lucidum	0.98	0.268	5	4.78	136	6.5	Facu	1.55
native	T16L5	10/5/2023	T16	Ligustrum_lucidum	1.12	0.287	5	1.98	133	3.4	Facu	1.55
native	T17C1	10/5/2023	T17	Scutia_buxifolia	0.24	0.094	5	NA	NA	1.8	Facu	1.55
native	T17C2	10/5/2023	T17	Scutia_buxifolia	0.14	0.098	5	5.65	148	10.59	Facu	1.55
native	T17C3	10/5/2023	T17	Scutia_buxifolia	0.31	0.191	5	3.27	135	4.82	Facu	1.55
native	T17C4	10/5/2023	T17	Scutia_buxifolia	0.13	0.058	5	3.23	125	3.81	Facu	1.55
native	T17C5	10/5/2023	T17	Scutia_buxifolia	0.27	0.081	5	2.7	135	4.25	Facu	1.55
native	T17L1	10/5/2023	T17	Ligustrum_lucidum	0.38	0.156	5	NA	NA	2.1	Facu	1.55
native	T17L2	10/5/2023	T17	Ligustrum_lucidum	NA	NA	NA	4.7	154	11.19	Facu	1.55
native	T17L3	10/5/2023	T17	Ligustrum_lucidum	NA	NA	NA	5.84	144	9.59	Facu	1.55
native	T17ST1	10/5/2023	T17	Jodina_rhombifolia	0.9	0.447	5	2.25	141	4.33	Facu	1.55
native	T17ST2	10/5/2023	T17	Jodina_rhombifolia	0.55	0.223	5	2.23	134	3.7	Facu	1.55
native	T17ST3	10/5/2023	T17	Jodina_rhombifolia	1.13	0.558	5	5.05	149	9.95	Facu	1.55
native	T17ST4	10/5/2023	T17	Jodina_rhombifolia	0.77	0.232	5	2.7	135	4.25	Facu	1.55
native	T17ST5	10/5/2023	T17	Jodina_rhombifolia	1.11	0.514	5	2.1	130	3.31	Facu	1.55
native	T17T1	12/12/2023	T17	Celtis_tala	0.24	0.086	5	3.6	150	7.87	Fede	1.63
native	T17T2	12/12/2023	T17	Celtis_tala	0.15	0.054	5	2.6	146	5.48	Fede	1.63
native	T17T3	12/12/2023	T17	Celtis_tala	0.24	0.093	5	4.15	165	17.12	Fede	1.63
native	T18C1	10/5/2023	T18	Scutia_buxifolia	0.13	0.065	5	4.86	133	6.08	Facu	1.55
native	T18C2	10/5/2023	T18	Scutia_buxifolia	0.2	0.132	5	4.38	135	5.93	Facu	1.55
native	T18C3	10/5/2023	T18	Scutia_buxifolia	0.09	0.042	5	2.97	144	5.64	Facu	1.55
native	T18C4	10/5/2023	T18	Scutia_buxifolia	0.26	0.147	5	4.62	142	7.46	Facu	1.55
native	T18C5	10/5/2023	T18	Scutia_buxifolia	0.1	0.05	5	3.92	150	8.34	Facu	1.55
native	T18L1	10/5/2023	T18	Ligustrum_lucidum	NA	NA	NA	3.55	138	5.49	Facu	1.55
native	T18L2	10/5/2023	T18	Ligustrum_lucidum	NA	NA	NA	3.78	138	5.75	Facu	1.55
native	T18L3	10/5/2023	T18	Ligustrum_lucidum	NA	NA	NA	3.47	136	5.14	Facu	1.55
native	T18L4	10/5/2023	T18	Ligustrum_lucidum	1.05	0.322	5	3.57	146	6.84	Facu	1.55
native	T18L5	10/5/2023	T18	Ligustrum_lucidum	2.9	0.949	5	4.27	140	6.64	Facu	1.55
native	T18M1	10/5/2023	T18	Schinus_longifolius	0.23	0.094	5	2.68	129	3.72	Facu	1.55
native	T18ST1	10/5/2023	T18	Jodina_rhombifolia	1.07	0.486	5	3.73	141	6.16	Facu	1.55
native	T18T1	12/12/2023	T18	Celtis_tala	0.34	0.092	5	3.7	142	6.37	Fede	1.63
native	T18T2	12/12/2023	T18	Celtis_tala	0.45	0.122	5	2.8	144	5.48	Fede	1.63
native	T18T3	12/12/2023	T18	Celtis_tala	0.61	0.162	5	5.7	132	6.76	Fede	1.63
native	T19C1	26-10-23	T19	Scutia_buxifolia	0.17	0.075	5	6.45	138	8.71	Facu	1.55
native	T19C2	26-10-23	T19	Scutia_buxifolia	0.17	0.11	5	4.28	140	6.65	Facu	1.55
native	T19C3	26-10-23	T19	Scutia_buxifolia	0.18	0.107	5	5.32	145	9.15	Facu	1.55
native	T19C4	26-10-23	T19	Scutia_buxifolia	0.14	0.077	5	5.2	132	6.23	Facu	1.55
